Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,Constituency,State,District,Year,House,Comment
Shrawan Kuma,RJD,6,10th Pass,50,69099613,24400000,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Vivek Thaku,BJP,0,Post Graduate,54,50566297,10444564,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Arun Das,BSP,0,12th Pass,49,25000,0,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Bima Bhart,RJD,3,Literate,49,50332043,3262644,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Kishor Kumar Yadav,All India Forward Bloc,0,Literate,50,6454784,75000,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Noman Alam,IND,0,Literate,45,335200,0,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Rajesh Ranjan Alias Pappu Yadav,IND,41,Graduate,56,103384682,17236808,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Santosh Kuma,JD(U),0,12th Pass,48,88037133,16310012,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Satyendra Yadav,IND,0,12th Pass,41,4831908,0,No,PURNIA,BIHAR,,2024,Lok Sabha,No Comment
Aytu Ram Mandav,BSP,0,8th Pass,58,625700,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Jagdish Nag,Azad Janata Party,0,12th Pass,40,1732500,1600000,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Kanwal Singh Baghel,Rashtriya Jansabha Party,0,Graduate Professional,43,32065044,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Kawasi Lakhma,INC,0,Literate,66,24137757,12359452,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Mahesh Kashyap,BJP,0,8th Pass,48,3967309,34980,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Narendra Burka,Hamar Raj Party,0,Doctorate,70,2060000,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Phulsingh Kachlam,CPI,0,Post Graduate,40,161000,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Prakash Kumar Gota,IND,0,Graduate Professional,31,3109316,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Shivram Nag,Sarv Adi Dal,0,5th Pass,30,55000,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Sundar Baghel,IND,0,8th Pass,34,1500000,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Tikam Nagwansh,Gondvana Gantantra Party,0,5th Pass,60,1601000,0,No,BASTAR (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Bhojraj Nag,BJP,0,8th Pass,49,12394941,607061,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Bhojram Mandav,Rashtriya Jansabha Party,0,12th Pass,31,1309664,80000,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Biresh Thaku,INC,0,Post Graduate,55,16869003,1500000,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Jivan Lal Matlam,Sarv Adi Dal,0,Post Graduate,31,120000,0,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Sonsingh,Ambedkarite Party of India,0,12th Pass,26,1325015,500000,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Sukchand Netam,Gondvana Gantantra Party,0,Post Graduate,40,6729946,1741400,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Thakesh Mahla,Bhartiya Shakti Chetna Party,0,Graduate,40,68630,0,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Tilak Ram Markam,BSP,0,10th Pass,39,2061500,220000,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Vinod Nagwansh,Hamar Raj Party,1,Post Graduate,46,14681800,4044466,No,KANKER (ST),CHHATTISGARH,,2024,Lok Sabha,No Comment
Basant Sinha,BSP,0,12th Pass,58,8235640,100000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Champa Lal Patel Guruji Dharti Pakd,Right to Recall Party,0,Graduate,56,5144343,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Dr. Virendra Chaudh,Bhartiya Shakti Chetna Party,0,Others,57,19355000,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Farid Quraish,Gondvana Gantantra Party,0,Graduate,44,74129,500000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Ganesh Ram Dhruw,Hamar Raj Party,0,8th Pass,42,415593,100000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Ishwar Markand,IND,0,5th Pass,46,629000,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Kaliya Prasad Seth,IND,0,10th Pass,81,371000,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Mahesh Swa,IND,1,12th Pass,50,51120000,800000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Mukesh Kumar Agrawal,IND,0,Post Graduate,53,15969751,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Narad Prasad Nishad,Shakti Sena (Bharat Desh),0,8th Pass,45,210000,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Nitesh Kumar Rat,Sunder Samaj Party,0,12th Pass,31,1516000,300000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Professor Suresh Sahu,IND,0,Post Graduate,65,13800000,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Rekhram Bagh,IND,0,Post Graduate,55,9090000,0,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Roop Kumari Choudhary,BJP,0,Post Graduate,47,53908562,2116025,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Santosh Darchand Banja,IND,0,12th Pass,45,897361,200000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Sukhnandan Deshka,IND,0,8th Pass,59,1795000,150000,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
Tamradhwaj Sahu,INC,0,12th Pass,75,52992268,15406968,No,MAHASAMUND,CHHATTISGARH,,2024,Lok Sabha,No Comment
A.H. Siddiqu,IND,0,Post Graduate,41,1230891,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Ajay Pal,IND,0,5th Pass,46,3100000,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Bhupesh Baghel,INC,3,Post Graduate,63,343923378,2681360,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Bhuvan Sahu,IND,0,12th Pass,26,10000,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Devlal Sinha (Sonvanshi),BSP,0,Graduate,44,3162000,1070000,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Er. Basant Kumar Meshram,IND,0,Post Graduate,64,26214362,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Lakhan Sing Tanda,Rashtriya Jansabha Party,0,8th Pass,48,949334,235000,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Lalita Kanwa,Hamar Raj Party,0,8th Pass,41,2050000,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Narad Prasad Nishad,Shakti Sena (Bharat Desh),0,8th Pass,45,210000,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Ramesh Rajput,Bhartiya Shakti Chetna Party,0,10th Pass,40,11079211,115000,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Ramfal Patil,Nyaydharmsabha,0,12th Pass,37,7500,60000,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Santosh Pandey,BJP,1,Graduate Professional,56,42916375,3229688,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Sukhdev Sinha,IND,0,Graduate,49,686094,50000,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Triveni Padot,IND,0,8th Pass,27,688378,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Vishesh Dhamgay,IND,0,Graduate,25,48000,0,No,RAJNANDGAON,CHHATTISGARH,,2024,Lok Sabha,No Comment
Ankur Sharma,Ekam Sanatan Bharat Dal,0,Graduate Professional,37,26736567,10036855,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Atul Raina,IND,0,Post Graduate,38,694337,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Bansi Lal,IND,0,8th Pass,58,17735000,555000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Dr Prince Raina,IND,0,Graduate Professional,37,27386986,20881063,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Ganesh Choudhary,Hindustan Shakti Sena,1,8th Pass,37,770000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Jagdish Raj,BSP,0,10th Pass,70,3700000,500000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Jugal Kisho,BJP,0,10th Pass,61,76378942,8013699,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Karanjit,IND,0,12th Pass,41,6650000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Naresh Kumar Chib,Jammu & Kashmir National Panthers Party (Bhim),0,Graduate,63,19684000,650000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Naresh Kumar Talla,IND,0,10th Pass,60,4059800,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Perseen Singh,IND,0,12th Pass,43,435000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Principal C D Sharma,IND,0,Post Graduate,63,20495424,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Qari Zaheer Abbas Bhatt,All India Forward Bloc,1,Others,52,5191991,1410000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Raj Kuma,IND,3,10th Pass,49,13004000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Raman Bhalla,INC,0,Graduate Professional,61,91836822,8181299,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Rattan Lal,Jammu & Kashmir People Conference,0,10th Pass,50,687423,134000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Satish Poonch,IND,0,10th Pass,75,13480000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Shaber Ahmed,IND,0,Graduate,38,2114500,581000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Shikha Bandral,National Awami United Party,0,Graduate,30,2004723,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Surinder Singh,IND,0,Graduate,66,9440000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Swami Divya Nand,Jammu and Kashmir Nationalist Peoples Front,0,Literate,60,25000,400000,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Vicky Kumar Dogra,IND,3,10th Pass,38,260000,0,No,JAMMU,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Amit Kuma,BSP,0,Graduate,28,5155000,0,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Balwan Singh,Jammu & Kashmir National Panthers Party,2,Post Graduate,57,2538559,0,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Ch Lal Singh,INC,0,Graduate,65,35013425,2534944,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Dr Jitendra Singh,BJP,0,Post Graduate,67,85905005,0,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Dr Pankaj Sharma,IND,0,Doctorate,44,500000,0,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Ghulam Mohd Saroo,IND,0,10th Pass,71,67606025,3000000,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Manoj Kuma,Ekam Sanatan Bharat Dal,1,12th Pass,32,720227,500000,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Mehraj D,IND,3,Post Graduate,36,45000,200000,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Mohd Ali Gujja,IND,0,Graduate,43,3005601,1420000,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Rajesh Manchanda,IND,0,12th Pass,56,13600000,1400000,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Sachin Gupta,IND,0,Graduate,37,304265,0,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Swarn Veer Singh Jaral,IND,0,Post Graduate,30,210000,0,No,UDHAMPUR,JAMMU AND KASHMIR,,2024,Lok Sabha,No Comment
Abhaya Sheela,Rashtriya Samaj Dal (R),2,12th Pass,46,2405000,1500000,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
B. Krishna Prasad,"Proutist Bloc, India",0,12th Pass,70,11103593,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
C.M. Shabaz Kha,Young Star Empowerment Party,2,12th Pass,30,701500,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
H. P. Shivaprakash,SUCI(C),0,8th Pass,57,962214,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
hitefield Murugesh .C,Republican Party of India (Karnataka),0,12th Pass,37,302640,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Jayalakshmi Sundara Raja,IND,0,Post Graduate,45,6549224,686,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
K. Manjunatha,IND,0,10th Pass,53,35100000,3011603,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Karthik. K,Voters Independent Party,0,Literate,27,50000,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Mansoor Ali Kha,INC,1,Graduate Professional,51,973333614,90350693,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Modi Saifulla,IND,0,5th Pass,44,150000,200000,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Mukthar Ali Kha,Karnataka Karmikara Paksha,0,10th Pass,54,415000,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Murugesh. R,IND,0,10th Pass,50,1077000,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
P C Moha,BJP,2,12th Pass,60,813065207,158634664,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Prakash. K,Karnataka Rashtra Samithi,0,Graduate,43,1837024,101555,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Ranjith Vishwa,Samajwadi Janata Party(Karnataka),0,Graduate Professional,40,30040000,920568,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Ruman Shariff,IND,0,Graduate,28,126000,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
S. M. Krishna,IND,0,10th Pass,59,17625000,800000,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Satish Chandra. M.,BSP,0,Post Graduate,47,523720,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Suresh Babu. M. C,Uttama Prajaakeeya Party,0,Graduate Professional,42,24785628,11909508,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Syed Asif Bukha,IND,0,Graduate,51,365000,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
T.R. Jagannatha Rao,Bharatiya Prajagala Kalyana Paksha,0,12th Pass,62,5137669,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Uma. V.,IND,0,10th Pass,40,377800,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Vasanth Kumar Erappa,IND,0,Post Graduate,37,1290656,913428,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Yallappa,IND,0,8th Pass,45,733000,0,No,BANGALORE CENTRAL,KARNATAKA,,2024,Lok Sabha,No Comment
Bhaskar Ankalamadugu Shivareddy,IND,0,10th Pass,30,90000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Dilip Kumar I.S.,IND,0,Graduate Professional,40,37974759,8651539,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Govindaiah,BSP,0,8th Pass,56,3287000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
H.R.Nataraj,IND,1,Others,56,175579225,26700000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Hebbal Venkatesh.J,Republican Party of India (A),0,10th Pass,71,885000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
J. Jai Simha Varma,Gareeb Aadmi Party,0,Graduate Professional,27,30000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
K.M.Mahadeva,IND,0,Graduate,54,24254995,11600000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
K.V.Nanjundaswamy,IND,0,Post Graduate,52,1614000,650000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Krishnaiah,Rashtriya Samaj Dal (R),1,10th Pass,51,2560000,15000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Lakshmi Srihari.J.N.,IND,0,10th Pass,37,1525000,245000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Nirmala H.L,SUCI(C),0,Post Graduate,35,237989,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Parasappa Bheemappa Gajj,Rani Chennamma Party,1,10th Pass,44,210000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Professor M.V Rajeev Gowda,INC,0,Doctorate,61,1340455205,14952033,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Santhosh M,Uttama Prajaakeeya Party,0,Graduate,38,1214600,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Shivakumar. B,Karnataka Rashtra Samithi,1,12th Pass,48,13297000,2820000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
 Shoban Babu V,Indian Labour Party (Ambedkar Phule),0,5th Pass,56,50000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Shobha,IND,0,8th Pass,38,10000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Shobha Karandlaj,BJP,5,Post Graduate,57,138866909,40600640,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Sudha. V,IND,0,Post Graduate,47,1860000,3700000,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Udaya Shankar.G,Prahar Janshakti Party,0,Others,48,100000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Y.R.Kalleshwa,Samajwadi Janata Party(Karnataka),0,10th Pass,42,50000,0,No,BANGALORE NORTH,KARNATAKA,,2024,Lok Sabha,No Comment
Abhishek K,Uttama Prajaakeeya Party,0,Graduate Professional,36,10181571,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
C N Manjunatha,Bahujan Bharat Party,1,10th Pass,52,15600000,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
D K Suresh,INC,3,12th Pass,57,5930525395,1500626994,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Dr C N Manjunath,BJP,0,Post Graduate,67,983883816,148146673,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
H V Chandrasheka,Viduthalai Chiruthaigal Katchi,0,8th Pass,46,9590000,360000,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Hemavathi K,SUCI(C),0,Graduate Professional,47,6384843,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
J T Prakash,IND,0,Graduate Professional,67,7300000,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Kumar L,Bharatiya Prajagala Kalyana Paksha,0,10th Pass,59,10782222,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Mahamad Musadik Pasha,Karnataka Rashtra Samithi,0,8th Pass,38,1198150,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Mohammad Dastag,Young Star Empowerment Party,0,10th Pass,35,58000,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
N Krishnappa,Pyramid Party of India,0,10th Pass,71,8956914,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Narasimhamurthy J P,IND,0,Graduate,54,64170000,15700000,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Suresh M N,IND,0,12th Pass,44,180000,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Suresh S,Karunaadu Party,0,Graduate,45,211000,0,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
Vasist J,Country Citizen Party,0,Graduate,26,3108008,16500000,No,BANGALORE RURAL,KARNATAKA,,2024,Lok Sabha,No Comment
A . Raj,IND,0,Graduate,51,3454000,2055000,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Arun Prasad.A,BSP,0,12th Pass,51,60000,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Asgar A Mohin.S.M.,IND,0,12th Pass,55,8702000,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Balakrishna.M.,Uttama Prajaakeeya Party,0,5th Pass,32,2815416,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
C M. Shabaz Kha,Young Star Empowerment Party,2,12th Pass,30,701500,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Chetan Chama,Country Citizen Party,0,Graduate Professional,41,9859973,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Dr Harish Gowda,IND,0,Post Graduate,39,23292983,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Dr.R.Shekar Thirumavalva,IND,0,8th Pass,52,2554812,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Jayapal.D,IND,0,Illiterate,47,7879481,4750000,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
K. C. Janardha,IND,0,Graduate,61,3167455,1393283,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Kanthakumar.R.,IND,4,Graduate Professional,32,714000,3500000,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Karavali Manjunath. B,Rashtriya Samaj Dal (R),4,Graduate Professional,40,100514000,170000,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Kempegowda,Navabharath Sena,0,12th Pass,41,552369,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Raghupathi Bhat,Karnataka Rashtra Samithi,2,Post Graduate,43,8185847,184948,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Ranjith Gowda,IND,0,Others,37,6195125,250000,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Sowmya Reddy,INC,6,Graduate Professional,41,23003877,15095150,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Subrahmanya Kumar Kuntikanamata,IND,0,Post Graduate,50,73600000,23000000,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Tejasvi Surya,BJP,3,Graduate Professional,33,41030489,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Tejaswini Dhananjay,IND,0,Graduate,33,1533000,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Tintisha Hemachandra Saga,IND,0,Post Graduate,39,195773284,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
V.Rajkumar Vck,IND,0,Not Given,59,100000,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Vatal Nagaraj,Kannada Chalavali Vatal Paksha,0,10th Pass,75,50986262,0,No,BANGALORE SOUTH,KARNATAKA,,2024,Lok Sabha,No Comment
Balaraj.S,BJP,0,Graduate Professional,58,64337433,3887132,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
C.M.Krishna,Dr. Ambedkar Peoples Party,0,Others,42,436000,0,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
G.D.Rajagopal (H.D.Kote),IND,0,12th Pass,53,183000,0,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
H.K.Swamy Haradanahall,IND,1,12th Pass,43,3137000,350000,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Kadamba. Naa. Ambarish,IND,0,12th Pass,38,899000,1065000,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Kandalli Mahesh,Karnataka Rashtra Samithi,0,Post Graduate,39,1137926,155103,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
M.Krishna Murthy,BSP,0,Post Graduate,49,2171388,16000,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Mahadevaswamy B M (Pampi),IND,0,Graduate,32,1117848,300000,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Ningaraj.G,IND,0,Graduate,50,3795000,935000,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Ningaraju.S,Karnataka Jantha Paksha,0,Graduate,40,472400,424000,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Patas Pradeep Kumar.M,IND,0,12th Pass,39,56000,0,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Prasanna Kumar.B,Karnataka Praja Party (RaithaParva),3,Graduate Professional,36,8794766,287500,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
Suma.S,SUCI(C),0,Post Graduate,29,488425,0,No,CHAMARAJANAGAR (SC),KARNATAKA,,2024,Lok Sabha,No Comment
